source_name,source_url,source_type,exact_or_proxy,search_result,baseline_status,coverage_note
Taiwan Index TW50 page,https://taiwanindex.com.tw/indexes/TW50,official_index_page,exact_candidate,found_overview_and_download_links,not_found,"Page confirms TW50 definition, 50 constituents, review months, and links to technical notices / FTSE resources; no dated complete historical baseline list exposed in HTML."
Taiwan Index technical notices,https://taiwanindex.com.tw/downloads/technical_notice,official_technical_notice_index,exact_candidate_event_only,found_2022_2026_notice_metadata,not_baseline,"Notice index lists event/review notices by year, but event rows alone cannot reconstruct complete PIT constituents without earlier official baseline."
Taiwan Index backend technical notice downloads,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/<id>/tw,official_technical_notice_pdf,exact_candidate_event_only,metadata_found_download_rate_limited,not_baseline,"29 TW50-related 2022-2026 notice URLs were identified, but download attempts currently return HTTP 429 Too Many Requests."
FTSE/LSEG TWSE Taiwan Index Series page,https://www.lseg.com/en/ftse-russell/indices/twse-taiwan,official_index_page,exact_candidate,found_constituents_and_factsheet_links,current_only,"Page exposes Factsheets, Index resources, and Constituents links; current downloads are available, but no public historical complete baseline before 2022 was found."
FTSE Russell Index Announcements,https://research.ftserussell.com/Products/index-notices/loggedOut/index/?ReturnUrl=%2Fproducts%2Findex-notices%2Fhome%2Fgetnotices%2F%3Fid%3DTWSE-TAIWAN&id=TWSE-TAIWAN,official_index_announcements,exact_candidate_event_only,access_limited,not_found,Public page states full announcement versions require registration; not a complete baseline source in current unauthenticated access.
FTSE current constituents weights direct download,https://research.ftserussell.com/analytics/factsheets/Home/DownloadConstituentsWeights/?indexdetails=TW50,official_current_constituents_pdf,exact_candidate_current_only,downloaded_current_pdf,late_current_snapshot_not_usable_for_2022,PDF extracted as FTSE TWSE Taiwan 50 indicative index weight data as at closing on 31 March 2026; too late for first 2022 accepted event baseline.
FTSE current factsheet direct download,https://research.ftserussell.com/Analytics/FactSheets/Home/DownloadSingleIssue?isManual=False&issueName=TW50,official_current_factsheet_pdf,exact_candidate_current_only,downloaded_current_pdf,late_current_snapshot_not_usable_for_2022,"Factsheet text extracted as FTSE TWSE Taiwan 50 Index, source as at 29 May 2026; not a pre-2022 complete baseline."
TWSE ETF / Yuanta 0050 holdings route,https://www.twse.com.tw,etf_holdings_or_proxy,proxy_candidate,known_proxy_route_only,not_exact_baseline,ETF holdings can support proxy-specific readiness only; must not be mixed into exact TW50 official PIT constituents.
Wikipedia / public mirrors,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A350%E6%8C%87%E6%95%B8,non_official_cross_check,non_official,found_historical_change_table,rejected_for_exact,Useful cross-check for event chronology only; not official and not accepted as exact baseline.
Taiwan Index technical notice downloads live retry 2026-06-24,https://backend.taiwanindex.com.tw/api/downloadFile/TechnicalNotices/<id>/tw,official_technical_notice_pdf,exact_candidate_event_only,29 official PDFs downloaded and parsed by Core parser,not_baseline,"Downloads are event notices only. Core parser accepted 62 add/delete event rows, but exact PIT intervals still require a complete official baseline snapshot dated on or before the first accepted event."
