ticker,company_name,market,evidence_type,evidence_category,keyword_or_topic,ai_supply_chain_layer,mainline_theme_label,source_doc_type,source_doc_date,source_url,source_url_or_file,source_title,source_excerpt,source_date,effective_date,as_of_date,extraction_method,confidence_level,accepted_for_diagnostic,accepted_for_formal,formal_exact,human_review_required,notes
2241.TW,艾姆勒,TWSE,official_dated_disclosure_keyword_evidence,cooling_power,散熱,cooling_thermal,thermal / cooling,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,產品品質與安全 / product category,1150704 114 2241 艾姆勒 N/A 2 逆變器散熱模組及其零組件：1059997pcs 其他：497798pcs,2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,medium,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
2328.TW,廣宇,TWSE,official_dated_disclosure_keyword_evidence,pcb_connector,PCB,pcb_ccl,PCB / printed circuit board,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,產品品質與安全 / product category,1150704 114 2328 廣宇 N/A 15 本公司主要產品為電子訊號線、線束、車用線束及PCB等電子零組件產品，係依據客戶需求與規格，量身訂製，並以準時交期、優良品質為服務宗旨，滿足客戶的所有需求。2025年度並無客戶機密或資訊外洩的情況，也沒有因產品責任而產生的訴訟案件。公司也已經投保產品責任保險，以規避因產品責任訴訟可能產生的相關風險。,2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,medium,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
2338.TW,光罩,TWSE,official_dated_disclosure_keyword_evidence,semiconductor_materials,半導體,semiconductor,semiconductor,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,產品品質與安全 / product category,1150704 114 2338 光罩 N/A N/A 半導體~光罩,2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,low,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
2357.TW,華碩,TWSE,official_dated_disclosure_keyword_evidence,old_ai_server,AI,ai_supply_chain,AI / AIoT / AI demand,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,產品品質與安全 / product category,分為： • 系統事業群：PC和智慧型手機 • 開放平台事業群：主機板、顯示卡、伺服器等元件產品 • AIOT事業群：Mini PC、工業電腦（IPC）& AI解決方案,2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,medium,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
2376.TW,技嘉,TWSE,official_dated_disclosure_keyword_evidence,old_ai_server,伺服器,ai_server_hardware,AI server / server hardware,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,產品品質與安全 / product category,76 技嘉 N/A N/A 技嘉科技主要經濟活動為電腦與電腦周邊設備之銷售與客戶服務，產品類別包含：伺服器、顯示卡、主機板、其他電腦周邊零組件等，產品之產量係以銷售佔營收比之情形為指標並於年報揭露，2025年電腦組件相關產品占比為33.81%、網通產品占比為61.64%、其他產品占比為4.55%。產品銷售之最新情形，亦可參閱技嘉科技法說會公開資訊：https://www.gigabyte.com/tw/Investor/83,2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,medium,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
2421.TW,建準,TWSE,official_dated_disclosure_keyword_evidence,cooling,散熱,cooling_thermal,thermal / cooling,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,產品品質與安全 / product category,"0704 114 2421 建準 14564.227 6 DC Fan：149,805,009 台 散熱模組：6,196,595 台 其他產品：652,804 台",2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,medium,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
2426.TW,鼎元,TWSE,official_dated_disclosure_keyword_evidence,compound_semiconductor,半導體,semiconductor,semiconductor,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,產品品質與安全 / product category,"1150704 114 2426 鼎元 N/A N/A 化合物半導體元件產量 6,556,491 仟顆 Si 元件產量 15,850,054 仟顆及 133,390 片",2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,low,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
2486.TW,一詮,TWSE,official_dated_disclosure_keyword_evidence,cooling_components,散熱,cooling_thermal,thermal / cooling,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,產品品質與安全 / product category," 2486 一詮 N/A N/A 1>導線架(LED/SMD) 20,681,253 KPCS 2>散熱元件 81,975,394 PCS 3>陶瓷電路板 769,288 PCS 4>TV背光模組 10,530,427 PCS 5>智能服務機器人 104,712 PCS 6>IC導線架 7,947,278 KPCS",2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,medium,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
3031.TW,佰鴻,TWSE,official_dated_disclosure_keyword_evidence,pcb_led,PCB,pcb_ccl,PCB / printed circuit board,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,產品品質與安全 / product category,1150704 114 3031 佰鴻 250.065 5 元件: 108.980t; PCBA組件: 135.114t; 照明: 2.613t; 晶粒: 0.007t; PCB: 3.352t,2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,medium,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
3035.TW,智原,TWSE,official_dated_disclosure_keyword_evidence,pool1b_ic_design,晶圓,semiconductor_materials,wafer,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,產品品質與安全 / product category,"1150704 114 3035 智原 24.380 19 ASIC產品：33,304(仟顆) 晶圓產品：22,522(片) 委託設計：150(個)",2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,medium,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
