ticker,theme_id,theme_name,ai_subtheme,source,source_package_task_id,source_doc_type,source_date,effective_date,source_quality,exact_membership_available,higher_quality_dated_membership_available,accepted_for_diagnostic,accepted_for_formal,human_review_required,formal_exact,future_data_violation_count,blocked_reason
1560,ai_server_hardware,AI server,server,https://doc.twse.com.tw/pdf/2024_1560_20250619F04_20260704_113548.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-06-19,2025-06-19,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
2241,cooling_thermal,thermal / cooling,cooling,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
2308,ai_server_hardware,AI server,server,https://doc.twse.com.tw/pdf/2024_2308_20250529F04_20260704_113614.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-05-29,2025-05-29,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
2328,pcb_ccl,PCB / printed circuit board,component,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
2338,semiconductor,semiconductor,IC design,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
2356,ai_server_hardware,AI server,server,https://doc.twse.com.tw/pdf/2024_2356_20250528F04_20260704_113634.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-05-28,2025-05-28,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
2357,ai_supply_chain,AI / AIoT / AI demand,other,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
2376,ai_server_hardware,AI server / server hardware,server,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
2382,ai_server_hardware,AI server,server,https://doc.twse.com.tw/pdf/2024_2382_20250613F04_20260704_113704.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-06-13,2025-06-13,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
2395,ai_server_hardware,AI server,server,https://doc.twse.com.tw/pdf/2024_2395_20250529F04_20260704_113713.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-05-29,2025-05-29,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
