source_id,dataset,source_name,source_url,source_route,source_type,status,coverage,source_date_available,effective_date_available,as_of_date_available,formal_exact,notes
twse_mi_index_industry_daily,sector_membership_pit,TWSE MI_INDEX daily by-industry close table,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date={yyyymmdd}&type={industry_code},GET date + TWSE industry type code,official_daily_industry_membership_candidate,route_unlocked_sample_rows_accepted_for_diagnostic,"sample dates 2015-01-05, 2020-01-02, 2026-07-02 across TWSE industry type codes",true,true_same_as_trading_date,true_same_as_trading_date,false,"Candidate is date-aware and official, but this package is bounded sample only. Full daily sweep and Core policy are required before formal replay."
tpex_daily_quotes,sector_membership_pit,TPEx dailyQuotes,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date={yyyy/mm/dd}&response=json,GET date,official_daily_trading_pit_no_sector_field,blocked_for_sector_membership,sample dates only; existing full sweep supports liquidity but not sector membership,true,true_same_as_trading_date,true_same_as_trading_date,false,Schema lacks sector/industry field; cannot create TPEx sector PIT membership from this route alone.
mops_t51sb01_current_company_basic,sector_membership_pit,MOPS t51sb01 current company basic route,https://mops.twse.com.tw/mops/web/index,SPA/current company basic by TYPEK/industry,official_current_snapshot_proxy,proxy_only_blocked_for_history,current snapshot only,current_fetch_date_only,false,false,false,Prior route reverse found no historical as-of/effective date parameter; excluded from accepted historical rows.
tpex_menu_candidate,sector_membership_pit,OC/FI Trading and Shareholding (by Stock Sectors),/en-us/mainboard/trading/major-institutional/sector-ocfi.html,local TPEx menu.json extraction,official_menu_candidate_not_validated,route_inventory_only,unknown,unknown,unknown,unknown,false,Candidate title/link found in TPEx official menu; no accepted sector membership rows in this package.
tpex_menu_candidate,sector_membership_pit,Daily Sector Indexes,/en-us/mainboard/trading/statistics/indices/daily-sector.html,local TPEx menu.json extraction,official_menu_candidate_not_validated,route_inventory_only,unknown,unknown,unknown,unknown,false,Candidate title/link found in TPEx official menu; no accepted sector membership rows in this package.
tpex_menu_candidate,sector_membership_pit,Constituents of GTXE,/en-us/mainboard/trading/statistics/indices/constituents.html,local TPEx menu.json extraction,official_menu_candidate_not_validated,route_inventory_only,unknown,unknown,unknown,unknown,false,Candidate title/link found in TPEx official menu; no accepted sector membership rows in this package.
tpex_menu_candidate,sector_membership_pit,Market information by industry,https://mis.tpex.org.tw/en/IB130SRT1.aspx?QueryProductType=T,local TPEx menu.json extraction,official_menu_candidate_not_validated,route_inventory_only,unknown,unknown,unknown,unknown,false,Candidate title/link found in TPEx official menu; no accepted sector membership rows in this package.
tpex_menu_candidate,sector_membership_pit,盤中指數及熱門資料,,local TPEx menu.json extraction,official_menu_candidate_not_validated,route_inventory_only,unknown,unknown,unknown,unknown,false,Candidate title/link found in TPEx official menu; no accepted sector membership rows in this package.
tpex_menu_candidate,sector_membership_pit,盤中指數資料,https://mis.twse.com.tw/stock/index?lang=zhHant,local TPEx menu.json extraction,official_menu_candidate_not_validated,route_inventory_only,unknown,unknown,unknown,unknown,false,Candidate title/link found in TPEx official menu; no accepted sector membership rows in this package.
tpex_menu_candidate,sector_membership_pit,上櫃股價指數收盤行情,/zh-tw/mainboard/trading/info/indices-pricing.html,local TPEx menu.json extraction,official_menu_candidate_not_validated,route_inventory_only,unknown,unknown,unknown,unknown,false,Candidate title/link found in TPEx official menu; no accepted sector membership rows in this package.
tpex_menu_candidate,sector_membership_pit,日成交量值指數,/zh-tw/mainboard/trading/info/daily-indices.html,local TPEx menu.json extraction,official_menu_candidate_not_validated,route_inventory_only,unknown,unknown,unknown,unknown,false,Candidate title/link found in TPEx official menu; no accepted sector membership rows in this package.
tpex_menu_candidate,sector_membership_pit,類股成交價量比重,/zh-tw/mainboard/trading/historical/weights.html,local TPEx menu.json extraction,official_menu_candidate_not_validated,route_inventory_only,unknown,unknown,unknown,unknown,false,Candidate title/link found in TPEx official menu; no accepted sector membership rows in this package.
tpex_menu_candidate,sector_membership_pit,各類股僑外資及陸資持股比例表,/zh-tw/mainboard/trading/major-institutional/sector-ocfi.html,local TPEx menu.json extraction,official_menu_candidate_not_validated,route_inventory_only,unknown,unknown,unknown,unknown,false,Candidate title/link found in TPEx official menu; no accepted sector membership rows in this package.
tpex_menu_candidate,sector_membership_pit,股價指數月報,,local TPEx menu.json extraction,official_menu_candidate_not_validated,route_inventory_only,unknown,unknown,unknown,unknown,false,Candidate title/link found in TPEx official menu; no accepted sector membership rows in this package.
