ticker,company_name,market,candidate_scope,evidence_type,keyword_or_topic,ai_supply_chain_layer,mainline_theme_label,source_doc_type,source_doc_date,source_url_or_file,source_title,source_excerpt,source_date,effective_date,as_of_date,extraction_method,confidence_level,accepted_for_diagnostic,accepted_for_formal,formal_exact,human_review_required,notes
1560.TW,中砂,TWSE,pool1b_materials,mops_annual_report_pdf_text_keyword_evidence,AI伺服器,ai_server_hardware,AI server,MOPS annual report PDF,2025-06-19,https://doc.twse.com.tw/pdf/2024_1560_20250619F04_20260704_113548.pdf,2024_1560_20250619F04.pdf,：主係113年度AI、半導體產業蓬勃發展，營收增加所致。 預期銷售數量與其依據，對公司未來財務業務之可能影響及因應計畫： 1.預期銷售數量與其依據： 隨著5G、AI伺服器及車用半導體需求攀升，晶圓廠持續擴建產能，帶動再生晶圓及鑽 石碟需求同步成長，中砂今年營收有望持續成長。另外竹科廠也計畫在今年新增產線，預計 2026年中完成，將對未來的營收有所助益。本公司將持續精實生產效率及成本優化，並改 善產品組合，以達成利潤目標。 2.對公司未來財務業務之可能影響及因應計畫： 本公司預期未來持續維持獲利並帶來現金流入，對財務並無重大影響。 104 財務狀況及財務 現金流量 績效之檢討分析 與風險事項 現金流量 (一) 最近年度淨現金流量變動分析 年度 增（減） 113年度 112年,2025-06-19,2025-06-19,2025-06-19,doc_twse_t57sb01_pdfplumber_keyword_extract,medium,true,false,false,true,Bounded v1 annual-report extraction; diagnostic-only until Research/Core validates taxonomy policy.
2308.TW,台達電,TWSE,old_ai_power,mops_annual_report_pdf_text_keyword_evidence,AI伺服器,ai_server_hardware,AI server,MOPS annual report PDF,2025-05-29,https://doc.twse.com.tw/pdf/2024_2308_20250529F04_20260704_113614.pdf,2024_2308_20250529F04.pdf,"步提升了整體液冷機 櫃的效能表現。台達的液冷散熱產品已陸續通過全球主要 CSP（雲端服務提供商）與 ODM（原始設計製造商）的承認， 並進入生產階段。隨著市場對AI伺服器及機櫃需求的持續攀升，預計這些產品亦將逐步擴大出貨規模。 在被動元件方面，台達在 2024 年經董事會通過決議，於 2025 年 1 月斥資 6,850 萬元美金，向日本上市公司 Alps Alpine Co., Ltd.及其子公司Alps Electric Korea Co., Ltd.取得功率電感及粉末材料相關業務，涵蓋生產及研發設備、相關專 利及智慧財產權等資產，並計畫將這些資產與台達子公司乾坤科技多年來累積的磁性元件技術結合，實現技術與市場綜 效。Alps Alpine 獨特的粉末材料專利技術，有",2025-05-29,2025-05-29,2025-05-29,doc_twse_t57sb01_pdfplumber_keyword_extract,medium,true,false,false,true,Bounded v1 annual-report extraction; diagnostic-only until Research/Core validates taxonomy policy.
2356.TW,英業達,TWSE,old_ai_server,mops_annual_report_pdf_text_keyword_evidence,AI伺服器,ai_server_hardware,AI server,MOPS annual report PDF,2025-05-28,https://doc.twse.com.tw/pdf/2024_2356_20250528F04_20260704_113634.pdf,2024_2356_20250528F04.pdf,"多重大環境與經濟因素之影響，全 一、業務內容 球出貨量仍經歷溫和的成長，不僅在通用型伺服器需求的回溫，主要的增 (一)業務範圍 長更來自大型雲端服務業者對於高階AI伺服器的持續需求。DIGITIMES研 1.業務主要內容 調資料顯示二○二四年整體伺服器出貨量約達到 1,472 萬台，相較二○二 三年約2%的成長率。而二○二五年面對總體經濟環境之不穩定性、地緣政 本集團主要營業項目為電腦及智慧裝置產品之生產及銷售等業務。 治衝突競爭、關稅壁壘加深等影響下，全球伺服器市場預估較二○二四年 2.合併營業比重 成長 3.9%，出貨總量來到 1,529 萬台；在高階 AI 伺服器方面，預估從二 年度 ○二四年的63.9萬台將提升到二○二五年的132.3萬台，美系雲端資料中 112年",2025-05-28,2025-05-28,2025-05-28,doc_twse_t57sb01_pdfplumber_keyword_extract,medium,true,false,false,true,Bounded v1 annual-report extraction; diagnostic-only until Research/Core validates taxonomy policy.
2382.TW,廣達,TWSE,old_ai_server,mops_annual_report_pdf_text_keyword_evidence,AI伺服器,ai_server_hardware,AI server,MOPS annual report PDF,2025-06-13,https://doc.twse.com.tw/pdf/2024_2382_20250613F04_20260704_113704.pdf,2024_2382_20250613F04.pdf,究院為 軸心，加強吸納優秀人才，並持續投入資源於創新研發，建立公司長期競爭優勢。近期主 要研發計畫如下：  AI與高效能運算（HPC）伺服器  開發次世代 AI伺服器，強化能源效率與先進散熱技術，滿足生成式 AI與大型語言 模型（LLM）訓練需求。  研發邊緣運算 AI 伺服器，提升低功耗、高能效設計，強化針對特定應用場景的適 應性、可靠性、安全性及最佳總體持有成本（TCO），加速AI on Edge應用發展。  優化軟硬體協同設計，整合高速、低延遲連接技術與系統架構創新，以最大化發揮 硬體潛力。 -79-  5G通訊技術與企業專網  深入佈局5G基礎架構，投入OPEN RAN平台、多接取邊緣運算（MEC）及網路資 源虛擬化（Open Platform for,2025-06-13,2025-06-13,2025-06-13,doc_twse_t57sb01_pdfplumber_keyword_extract,medium,true,false,false,true,Bounded v1 annual-report extraction; diagnostic-only until Research/Core validates taxonomy policy.
2395.TW,研華,TWSE,old_ai_edge_aiot,mops_annual_report_pdf_text_keyword_evidence,AI伺服器,ai_server_hardware,AI server,MOPS annual report PDF,2025-05-29,https://doc.twse.com.tw/pdf/2024_2395_20250529F04_20260704_113713.pdf,2024_2395_20250529F04.pdf,已連續七年穩居台灣國際品牌 前五大。  榮獲《天下》「2024天下永續公民獎」大型企業製造業組第四名及「天下人才永續獎」  以自主研發設計的「大語言模型邊緣AI伺服器」及「無風扇能源數位化伺服器」雙雙榮獲第三十三 屆台灣精品銀質獎; 本屆研華共有六項產品入選台灣精品獎，包括: 大語言模型邊緣AI伺服器AIR- 520+ai100、無風扇能源數位化伺服器ECU-479、資產追蹤管理系統LEO-L50、醫療級可擴充AI工作 113 站USM-300、模組化列車數位控制器ITA-580，以及極輕薄無電池NFC電子紙解決方案EPD-303。  榮登標普全球（S&P Global）2024年永續年鑑（The Sustainability Yearbook 2024）Top 5,2025-05-29,2025-05-29,2025-05-29,doc_twse_t57sb01_pdfplumber_keyword_extract,medium,true,false,false,true,Bounded v1 annual-report extraction; diagnostic-only until Research/Core validates taxonomy policy.
2449.TW,京元電子,TWSE,pool1b_semiconductor,mops_annual_report_pdf_text_keyword_evidence,伺服器,ai_server_hardware,server hardware,MOPS annual report PDF,2025-05-27,https://doc.twse.com.tw/pdf/2024_2449_20250527F04_20260704_113733.pdf,2024_2449_20250527F04.pdf,製造產業 創造極大的發展空間。 展望新的一年，繼台灣半導體上游晶圓製造廠的先進製程產能客戶需求殷 切，先進CoWoS封裝產能今年將快速倍數增長。雲端AI高算力的伺服器硬體、 軟體投資先行大幅建置準備，有利AI終端應用面產品推出。雖然上半年景氣逐 漸回溫，但第一季AI晶片產能擴充已放量生產，春燕到來。本公司將遵守財務 紀律，深耕工程技術，掌握市場機遇，追求持續成長，做好品質、交期、技術、 服務、客戶滿意度工作，一步一腳印，樂觀的迎接未來強勁成長的一年。 董事長 李金恭 總經理 張高薰 -4- 告報理治司公、貳 料資管主構機支分及門部各、理協、理經總副、理經總、事董、一 事董）一（ 日13月30年411 料資事董.1 備 親二或偶配具 人他用利 女子年成未、偶配 數股有持在現,2025-05-27,2025-05-27,2025-05-27,doc_twse_t57sb01_pdfplumber_keyword_extract,medium,true,false,false,true,Bounded v1 annual-report extraction; diagnostic-only until Research/Core validates taxonomy policy.
3017.TW,奇鋐,TWSE,old_ai_cooling,mops_annual_report_pdf_text_keyword_evidence,AI,ai_supply_chain,AI / AI demand,MOPS annual report PDF,2025-06-06,https://doc.twse.com.tw/pdf/2024_3017_20250606F04_20260704_113748.pdf,2024_3017_20250606F04.pdf,(cid:4206)(cid:1291)(cid:5486) (cid:3394)(cid:502)(cid:1689)(cid:3457)(cid:1837)AI(cid:3170)(cid:3952)(cid:1937)(cid:3623)(cid:2518)(cid:500)(cid:1153)(cid:998)(cid:1113) 113(cid:1283)(cid:1937)(cid:3952)(cid:5486)(cid:2010)(cid:2980)(cid:1088)(cid:1349)(cid:500)(cid:5436)(cid:3952)(cid:1295)(cid:917)(cid:2314)(cid:2241) 717.6(cid:4665)(c,2025-06-06,2025-06-06,2025-06-06,doc_twse_t57sb01_pdfplumber_keyword_extract,medium,true,false,false,true,Bounded v1 annual-report extraction; diagnostic-only until Research/Core validates taxonomy policy.
3044.TW,健鼎,TWSE,pool1b_pcb,mops_annual_report_pdf_text_keyword_evidence,AI伺服器,ai_server_hardware,AI server,MOPS annual report PDF,2025-05-29,https://doc.twse.com.tw/pdf/2024_3044_20250529F04_20260704_113802.pdf,2024_3044_20250529F04.pdf,展狀況 展望 2025 年產業發展，參考 TrendForce 提出科技趨勢各式 AI 應用產品及受惠 AI 浪潮推動需求，如HBM市場、NAND Flash、AI伺服器、AI PMIC、AI PC、機 器人等具有發展潛力。因應此趨勢變化下，本公司定期調研產業科技趨勢及客戶需 求，提前佈局研究開發，強化技術與產品開發與孵化，持續推展產學研合作及參與 產業策略聯盟來推進前瞻產品與技術開發，推展設備自動化，以提升良率並降低人 工成本；建立綠色工廠，響應碳達峰與碳中和及節能減排。 二、本年度營業計畫概要 (一) 經營方針 1. 產業市況複雜多變，新興應用產品持續推陳出新，供應鏈供需緊張，全球經濟情 勢不確定性高，宜審慎應對產業經濟情勢發展，並對新產品開發風險及原物料和 匯率價格,2025-05-29,2025-05-29,2025-05-29,doc_twse_t57sb01_pdfplumber_keyword_extract,medium,true,false,false,true,Bounded v1 annual-report extraction; diagnostic-only until Research/Core validates taxonomy policy.
3189.TW,景碩,TWSE,pool1b_substrate,mops_annual_report_pdf_text_keyword_evidence,伺服器,ai_server_hardware,server hardware,MOPS annual report PDF,2025-05-28,https://doc.twse.com.tw/pdf/2024_3189_20250528F04_20260704_113810.pdf,2024_3189_20250528F04.pdf,"的相關應用則為大幅成長，整個 FC BGA 在 112年至117年的複合成長率達8.9%，是所有載板產品裡最高的。 記憶體產品則有一半受到 AI 的推動，拉抬了伺服器、資料中心、邊緣運算裝 置的需求，另一半則受到消費性產品需求不振的拖累，整體複合成長率稍緩達 8.1%。 智慧型手機所使用的CSP載板產品，則很明顯的受到中國經濟的影響，充滿了 不可測的變數。 單位：美金百萬元 2023-2028 2011-2023 2021 2022 2023 2024F 2028F 2023/2022 CAAGR CAAGR FC PGA/LGA/BGA $7,033 $9,265 $6,716 $6,445 $10,282 -27.5% 8.9% 4.1% FCCSP/FC-DRAM ",2025-05-28,2025-05-28,2025-05-28,doc_twse_t57sb01_pdfplumber_keyword_extract,medium,true,false,false,true,Bounded v1 annual-report extraction; diagnostic-only until Research/Core validates taxonomy policy.
3324.TW,雙鴻,TWSE,pool1b_cooling,mops_annual_report_pdf_text_keyword_evidence,AI伺服器,ai_server_hardware,AI server,MOPS annual report PDF,2025-05-16,https://doc.twse.com.tw/pdf/2024_3324_20250516F04_20260704_113831.pdf,2024_3324_20250516F04.pdf,模組開發 J.短無效區平頭式熱管之 AI PC 應用研究計畫 K.高效能電競筆電均熱板優化設計重點摘要書 二、一一三年營業計畫 ◆ 回顧一一三年營運結果 受惠於AI伺服器採用液冷散熱滲透率的提升，與通用型伺服器需求的復甦，一一 三年全年合併營收相較一一二年成長24.1%，同時隨著電競、商用筆電散熱規格升級， 總體公司產品組合更加優化，推升全年毛利率至 26%，較一一二年再增加近 2 個百 分點，連續三年改寫新高紀錄。公司秉持「技術是根，文化價值是土壤」的企業經營 精神，專注於散熱領域，精進液冷技術，聚焦高附加價值市場，推升中長期營運成長， 同時以產值與獲利極大化為最終目標，為股東創造最大的利益，以感謝股東對雙鴻的 支持與信任。 ◆ 展望一一四年營運成長動能 1. 隨著極端,2025-05-16,2025-05-16,2025-05-16,doc_twse_t57sb01_pdfplumber_keyword_extract,medium,true,false,false,true,Bounded v1 annual-report extraction; diagnostic-only until Research/Core validates taxonomy policy.
