year,market,coverage_status,formal_master_ready,listing,delisting,suspension,resumption,altered_trading_status_snapshot,tpex_current_trading_status_snapshot,disposition_status_current_window,code_name_change_candidate,transfer_listing_candidate,notes
2015,TWSE,improved_partial_twse_status_coverage,false,24,8,1,1,498,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2015,TPEx,blocked_no_rows_observed,false,0,0,0,0,0,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2016,TWSE,improved_partial_twse_status_coverage,false,25,10,15,14,458,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2016,TPEx,blocked_no_rows_observed,false,0,0,0,0,0,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2017,TWSE,improved_partial_twse_status_coverage,false,21,8,28,29,449,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2017,TPEx,blocked_no_rows_observed,false,0,0,0,0,0,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2018,TWSE,improved_partial_twse_status_coverage,false,31,10,46,46,437,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2018,TPEx,blocked_no_rows_observed,false,0,0,0,0,0,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2019,TWSE,improved_partial_twse_status_coverage,false,19,8,58,58,433,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2019,TPEx,blocked_no_rows_observed,false,0,0,0,0,0,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2020,TWSE,improved_partial_twse_status_coverage,false,12,7,42,42,492,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2020,TPEx,blocked_no_rows_observed,false,0,0,0,0,0,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2021,TWSE,improved_partial_twse_status_coverage,false,19,10,18,18,496,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2021,TPEx,blocked_no_rows_observed,false,0,0,0,0,0,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2022,TWSE,improved_partial_twse_status_coverage,false,24,13,8,8,392,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2022,TPEx,blocked_no_rows_observed,false,0,0,0,0,0,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2023,TWSE,improved_partial_twse_status_coverage,false,28,2,6,6,329,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2023,TPEx,blocked_no_rows_observed,false,0,0,0,0,0,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2024,TWSE,improved_partial_twse_status_coverage,false,37,3,16,16,305,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2024,TPEx,blocked_no_rows_observed,false,0,0,0,0,0,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2025,TWSE,improved_partial_twse_status_coverage,false,35,3,25,25,314,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2025,TPEx,blocked_no_rows_observed,false,0,0,0,0,0,0,0,0,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2026,TWSE,improved_partial_twse_status_coverage,false,19,3,9,9,176,0,32,24,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
2026,TPEx,partial_event_rows_available,false,0,0,89,89,0,20,29,9,0,"Rows are date-aware source-backed events/status snapshots, but not a complete all-market master unless explicitly marked by source_manifest."
