ticker,company_name,candidate_ai_subtheme,theme_label,source,source_doc_type,source_date,effective_date,evidence_category,keyword_or_topic,current_confidence_level,review_required,review_decision_allowed_values,reviewed_ai_subtheme_allowed_values,accepted_for_formal_before_review,accepted_for_higher_quality_rerun_before_review,future_data_violation_count
1560,中砂,ai_server_hardware,AI server,https://doc.twse.com.tw/pdf/2024_1560_20250619F04_20260704_113548.pdf,MOPS annual report PDF,2025-06-19,2025-06-19,mops_annual_report_pdf_text_keyword_evidence,AI伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
2308,台達電,ai_server_hardware,AI server,https://doc.twse.com.tw/pdf/2024_2308_20250529F04_20260704_113614.pdf,MOPS annual report PDF,2025-05-29,2025-05-29,mops_annual_report_pdf_text_keyword_evidence,AI伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
2356,英業達,ai_server_hardware,AI server,https://doc.twse.com.tw/pdf/2024_2356_20250528F04_20260704_113634.pdf,MOPS annual report PDF,2025-05-28,2025-05-28,mops_annual_report_pdf_text_keyword_evidence,AI伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
2382,廣達,ai_server_hardware,AI server,https://doc.twse.com.tw/pdf/2024_2382_20250613F04_20260704_113704.pdf,MOPS annual report PDF,2025-06-13,2025-06-13,mops_annual_report_pdf_text_keyword_evidence,AI伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
2395,研華,ai_server_hardware,AI server,https://doc.twse.com.tw/pdf/2024_2395_20250529F04_20260704_113713.pdf,MOPS annual report PDF,2025-05-29,2025-05-29,mops_annual_report_pdf_text_keyword_evidence,AI伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
2449,京元電子,ai_server_hardware,server hardware,https://doc.twse.com.tw/pdf/2024_2449_20250527F04_20260704_113733.pdf,MOPS annual report PDF,2025-05-27,2025-05-27,mops_annual_report_pdf_text_keyword_evidence,伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
3017,奇鋐,ai_supply_chain,AI / AI demand,https://doc.twse.com.tw/pdf/2024_3017_20250606F04_20260704_113748.pdf,MOPS annual report PDF,2025-06-06,2025-06-06,mops_annual_report_pdf_text_keyword_evidence,AI,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
3044,健鼎,ai_server_hardware,AI server,https://doc.twse.com.tw/pdf/2024_3044_20250529F04_20260704_113802.pdf,MOPS annual report PDF,2025-05-29,2025-05-29,mops_annual_report_pdf_text_keyword_evidence,AI伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
3189,景碩,ai_server_hardware,server hardware,https://doc.twse.com.tw/pdf/2024_3189_20250528F04_20260704_113810.pdf,MOPS annual report PDF,2025-05-28,2025-05-28,mops_annual_report_pdf_text_keyword_evidence,伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
3324,雙鴻,ai_server_hardware,AI server,https://doc.twse.com.tw/pdf/2024_3324_20250516F04_20260704_113831.pdf,MOPS annual report PDF,2025-05-16,2025-05-16,mops_annual_report_pdf_text_keyword_evidence,AI伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
