dataset,year,coverage_status,formal_ready,source_ids,notes
all_listed_liquid_universe_pit_daily,2015,proxy_or_diagnostic_only,false,twse_tpex_full_market_daily_candidate;radar_official_turnover_v1;radar_0050_pcf_daily_full_range;radar_0050_missing_price_4tickers,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
all_listed_liquid_universe_pit_daily,2016,proxy_or_diagnostic_only,false,twse_tpex_full_market_daily_candidate;radar_official_turnover_v1;radar_0050_pcf_daily_full_range;radar_0050_missing_price_4tickers,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
all_listed_liquid_universe_pit_daily,2017,proxy_or_diagnostic_only,false,twse_tpex_full_market_daily_candidate;radar_official_turnover_v1;radar_0050_pcf_daily_full_range;radar_0050_missing_price_4tickers,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
all_listed_liquid_universe_pit_daily,2018,proxy_or_diagnostic_only,false,twse_tpex_full_market_daily_candidate;radar_official_turnover_v1;radar_0050_pcf_daily_full_range;radar_0050_missing_price_4tickers,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
all_listed_liquid_universe_pit_daily,2019,proxy_or_diagnostic_only,false,twse_tpex_full_market_daily_candidate;radar_official_turnover_v1;radar_0050_pcf_daily_full_range;radar_0050_missing_price_4tickers,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
all_listed_liquid_universe_pit_daily,2020,proxy_or_diagnostic_only,false,twse_tpex_full_market_daily_candidate;radar_official_turnover_v1;radar_0050_pcf_daily_full_range;radar_0050_missing_price_4tickers,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
all_listed_liquid_universe_pit_daily,2021,partial_ready,false,twse_tpex_full_market_daily_candidate;radar_official_turnover_v1;radar_0050_pcf_daily_full_range;radar_0050_missing_price_4tickers,Partial source exists but does not cover all-listed Dynamic Pool1 requirements.
all_listed_liquid_universe_pit_daily,2022,partial_ready,false,twse_tpex_full_market_daily_candidate;radar_official_turnover_v1;radar_0050_pcf_daily_full_range;radar_0050_missing_price_4tickers,Partial source exists but does not cover all-listed Dynamic Pool1 requirements.
all_listed_liquid_universe_pit_daily,2023,partial_ready,false,twse_tpex_full_market_daily_candidate;radar_official_turnover_v1;radar_0050_pcf_daily_full_range;radar_0050_missing_price_4tickers,Partial source exists but does not cover all-listed Dynamic Pool1 requirements.
all_listed_liquid_universe_pit_daily,2024,candidate_not_acquired,false,twse_tpex_full_market_daily_candidate;radar_official_turnover_v1;radar_0050_pcf_daily_full_range;radar_0050_missing_price_4tickers,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
all_listed_liquid_universe_pit_daily,2025,candidate_not_acquired,false,twse_tpex_full_market_daily_candidate;radar_official_turnover_v1;radar_0050_pcf_daily_full_range;radar_0050_missing_price_4tickers,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
all_listed_liquid_universe_pit_daily,2026,candidate_not_acquired,false,twse_tpex_full_market_daily_candidate;radar_official_turnover_v1;radar_0050_pcf_daily_full_range;radar_0050_missing_price_4tickers,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
monthly_revenue_pit,2015,blocked_missing,false,radar_mops_monthly_revenue_v1,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
monthly_revenue_pit,2016,blocked_missing,false,radar_mops_monthly_revenue_v1,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
monthly_revenue_pit,2017,blocked_missing,false,radar_mops_monthly_revenue_v1,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
monthly_revenue_pit,2018,blocked_missing,false,radar_mops_monthly_revenue_v1,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
monthly_revenue_pit,2019,blocked_missing,false,radar_mops_monthly_revenue_v1,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
monthly_revenue_pit,2020,blocked_missing,false,radar_mops_monthly_revenue_v1,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
monthly_revenue_pit,2021,partial_ready,false,radar_mops_monthly_revenue_v1,Partial source exists but does not cover all-listed Dynamic Pool1 requirements.
monthly_revenue_pit,2022,partial_ready,false,radar_mops_monthly_revenue_v1,Partial source exists but does not cover all-listed Dynamic Pool1 requirements.
monthly_revenue_pit,2023,partial_ready,false,radar_mops_monthly_revenue_v1,Partial source exists but does not cover all-listed Dynamic Pool1 requirements.
monthly_revenue_pit,2024,blocked_missing,false,radar_mops_monthly_revenue_v1,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
monthly_revenue_pit,2025,blocked_missing,false,radar_mops_monthly_revenue_v1,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
monthly_revenue_pit,2026,blocked_missing,false,radar_mops_monthly_revenue_v1,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
quarterly_fundamentals_pit,2015,candidate_not_acquired,false,mops_quarterly_financials_xbrl_candidate;backtest_factor_2024_2026_valuation_blocked,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
quarterly_fundamentals_pit,2016,candidate_not_acquired,false,mops_quarterly_financials_xbrl_candidate;backtest_factor_2024_2026_valuation_blocked,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
quarterly_fundamentals_pit,2017,candidate_not_acquired,false,mops_quarterly_financials_xbrl_candidate;backtest_factor_2024_2026_valuation_blocked,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
quarterly_fundamentals_pit,2018,candidate_not_acquired,false,mops_quarterly_financials_xbrl_candidate;backtest_factor_2024_2026_valuation_blocked,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
quarterly_fundamentals_pit,2019,candidate_not_acquired,false,mops_quarterly_financials_xbrl_candidate;backtest_factor_2024_2026_valuation_blocked,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
quarterly_fundamentals_pit,2020,candidate_not_acquired,false,mops_quarterly_financials_xbrl_candidate;backtest_factor_2024_2026_valuation_blocked,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
quarterly_fundamentals_pit,2021,candidate_not_acquired,false,mops_quarterly_financials_xbrl_candidate;backtest_factor_2024_2026_valuation_blocked,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
quarterly_fundamentals_pit,2022,candidate_not_acquired,false,mops_quarterly_financials_xbrl_candidate;backtest_factor_2024_2026_valuation_blocked,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
quarterly_fundamentals_pit,2023,candidate_not_acquired,false,mops_quarterly_financials_xbrl_candidate;backtest_factor_2024_2026_valuation_blocked,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
quarterly_fundamentals_pit,2024,candidate_not_acquired,false,mops_quarterly_financials_xbrl_candidate;backtest_factor_2024_2026_valuation_blocked,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
quarterly_fundamentals_pit,2025,candidate_not_acquired,false,mops_quarterly_financials_xbrl_candidate;backtest_factor_2024_2026_valuation_blocked,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
quarterly_fundamentals_pit,2026,candidate_not_acquired,false,mops_quarterly_financials_xbrl_candidate;backtest_factor_2024_2026_valuation_blocked,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
historical_market_cap_pit,2015,blocked_missing,false,official_turnover_plus_price_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
historical_market_cap_pit,2016,blocked_missing,false,official_turnover_plus_price_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
historical_market_cap_pit,2017,blocked_missing,false,official_turnover_plus_price_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
historical_market_cap_pit,2018,blocked_missing,false,official_turnover_plus_price_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
historical_market_cap_pit,2019,blocked_missing,false,official_turnover_plus_price_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
historical_market_cap_pit,2020,blocked_missing,false,official_turnover_plus_price_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
historical_market_cap_pit,2021,blocked_missing,false,official_turnover_plus_price_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
historical_market_cap_pit,2022,blocked_missing,false,official_turnover_plus_price_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
historical_market_cap_pit,2023,blocked_missing,false,official_turnover_plus_price_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
historical_market_cap_pit,2024,blocked_missing,false,official_turnover_plus_price_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
historical_market_cap_pit,2025,blocked_missing,false,official_turnover_plus_price_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
historical_market_cap_pit,2026,blocked_missing,false,official_turnover_plus_price_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_membership_pit,2015,candidate_not_acquired,false,radar_2015_2021_sector_mainline_contract,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_membership_pit,2016,candidate_not_acquired,false,radar_2015_2021_sector_mainline_contract,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_membership_pit,2017,candidate_not_acquired,false,radar_2015_2021_sector_mainline_contract,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_membership_pit,2018,candidate_not_acquired,false,radar_2015_2021_sector_mainline_contract,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_membership_pit,2019,candidate_not_acquired,false,radar_2015_2021_sector_mainline_contract,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_membership_pit,2020,candidate_not_acquired,false,radar_2015_2021_sector_mainline_contract,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_membership_pit,2021,candidate_not_acquired,false,radar_2015_2021_sector_mainline_contract,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_membership_pit,2022,blocked_missing,false,radar_2015_2021_sector_mainline_contract,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_membership_pit,2023,blocked_missing,false,radar_2015_2021_sector_mainline_contract,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_membership_pit,2024,blocked_missing,false,radar_2015_2021_sector_mainline_contract,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_membership_pit,2025,blocked_missing,false,radar_2015_2021_sector_mainline_contract,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_membership_pit,2026,blocked_missing,false,radar_2015_2021_sector_mainline_contract,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_breadth_pit_daily,2015,blocked_missing,false,sector_breadth_from_membership_and_liquidity_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_breadth_pit_daily,2016,blocked_missing,false,sector_breadth_from_membership_and_liquidity_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_breadth_pit_daily,2017,blocked_missing,false,sector_breadth_from_membership_and_liquidity_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_breadth_pit_daily,2018,blocked_missing,false,sector_breadth_from_membership_and_liquidity_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_breadth_pit_daily,2019,blocked_missing,false,sector_breadth_from_membership_and_liquidity_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_breadth_pit_daily,2020,blocked_missing,false,sector_breadth_from_membership_and_liquidity_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_breadth_pit_daily,2021,blocked_missing,false,sector_breadth_from_membership_and_liquidity_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_breadth_pit_daily,2022,blocked_missing,false,sector_breadth_from_membership_and_liquidity_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_breadth_pit_daily,2023,blocked_missing,false,sector_breadth_from_membership_and_liquidity_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_breadth_pit_daily,2024,blocked_missing,false,sector_breadth_from_membership_and_liquidity_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
sector_breadth_pit_daily,2025,blocked_missing,false,sector_breadth_from_membership_and_liquidity_candidate,Dynamic Pool1 not ready until this dataset is accepted all-listed PIT.
