step,symbol,action,status,detail
1,1536,accept_dated_official_annual_report_evidence,completed,2021_1536_20220608F04.pdf 2022-06-08 exact_auto_drivetrain_components
2,1590,accept_dated_official_annual_report_evidence,completed,2021_1590_20220616F04.pdf 2022-06-16 exact_pneumatic_automation
3,2049,accept_dated_official_annual_report_evidence,completed,2021_2049_20220627F04.pdf 2022-06-27 exact_linear_motion_robotics
4,2231,accept_dated_official_annual_report_evidence,completed,2021_2231_20220526F04.pdf 2022-05-26 exact_auto_electronics
5,2356,accept_dated_official_annual_report_evidence,completed,2021_2356_20220614F04.pdf 2022-06-14 server_odm_proxy_not_ai_specific
6,2359,accept_dated_official_annual_report_evidence,completed,2021_2359_20220608F04.pdf 2022-06-08 exact_machine_vision_automation
7,2376,accept_dated_official_annual_report_evidence,completed,2021_2376_20220614F04.pdf 2022-06-14 server_gpu_platform_proxy
8,2464,accept_dated_official_annual_report_evidence,completed,2021_2464_20220609F04.pdf 2022-06-09 exact_factory_automation
9,2497,accept_dated_official_annual_report_evidence,completed,2021_2497_20220615F04.pdf 2022-06-15 exact_in_vehicle_electronics
10,3552,accept_dated_official_annual_report_evidence,completed,2021_3552_20220630F04.pdf 2022-06-30 exact_auto_sensors
11,3665,accept_dated_official_annual_report_evidence,completed,2021_3665_20220623F04.pdf 2022-06-23 exact_auto_ev_interconnect
12,4576,accept_dated_official_annual_report_evidence,completed,2021_4576_20220531F04.pdf 2022-05-31 exact_motion_control_automation
13,6166,accept_dated_official_annual_report_evidence,completed,2021_6166_20220622F04.pdf 2022-06-22 exact_industrial_pc_automation
14,6279,accept_dated_official_annual_report_evidence,completed,2021_6279_20220617F04.pdf 2022-06-17 exact_auto_connectors
15,6531,accept_dated_official_annual_report_evidence,completed,2021_6531_20220527F04.pdf 2022-05-27 exact_memory_ic_ip
16,8088,accept_dated_official_annual_report_evidence,completed,2021_8088_20220617F04.pdf 2022-06-17 exact_memory_modules
