name,theme,capital_inflow_rank,turnover_share_change,capital_share,capital_share_prev,turnover_value,turnover_value_prev,momentum_20d,strong_stock_ratio,industry_trend,overseas_signal,pe_percentile,risk_heat,catalysts,risks
記憶體,"HBM、DDR4/DDR5 報價與 AI 伺服器需求",88,82,12.8,8.9,128500,86400,80,76,90,92,58,64,"SK hynix、Micron 等海外記憶體指標偏強|HBM 與 DDR 報價循環仍是主線","短線漲幅已大，利多鈍化時容易震盪|部分模組股籌碼可能轉熱"
PCB/載板,"AI 伺服器、高階板材、ABF 載板與 CCL",84,79,10.9,7.4,116200,79000,78,73,88,80,52,58,"AI 伺服器層數提升帶動高階 PCB 需求|載板與材料缺口支撐報價","原物料價格與良率影響毛利|高位階個股需等拉回"
CPO/矽光子,"800G/1.6T 光通訊與資料中心升級",73,70,6.5,5.1,46800,34900,74,68,86,84,70,72,"AI 資料中心高速傳輸需求提升|美股光通訊鏈仍具題材","估值較高且題材股波動大|營收實現時間差需追蹤"
被動元件,"AI 電源規格升級、車用與高階 MLCC",66,64,5.7,4.8,39200,32100,62,58,74,61,44,46,"高階應用推升產品組合|若漲價題材延續，資金有補漲空間","題材整齊度尚不如記憶體與 PCB|需確認月營收與報價趨勢"
AI伺服器/ODM,"GPU 伺服器、AI 整機與雲端資料中心資本支出",70,55,0,0,0,0,70,50,86,82,58,56,"雲端資本支出與 AI 伺服器拉貨|美股 AI 硬體鏈可作海外參考","大型權值股影響指數波動|高基期個股需避免追價"
散熱,"AI 伺服器功耗提升帶動水冷與高階散熱",68,55,0,0,0,0,68,50,84,76,60,62,"GPU 功耗提升推動散熱升級|水冷滲透率提升是中期題材","題材股波動大|若出貨節奏遞延，估值容易修正"
電源/BBU,"AI 伺服器電源、備援電池與資料中心供電升級",64,55,0,0,0,0,62,50,78,70,52,52,"資料中心供電規格升級|BBU 與 UPS 題材可延伸","個股差異大，需要確認實際訂單與毛利"
重電/電網,"電網升級、變壓器、配電設備與電力工程",62,55,0,0,0,0,60,50,76,55,48,50,"台電強韌電網與基建需求|海外變壓器需求仍可追蹤","政策題材容易受預算與接單時程影響"
機器人/自動化,"機器人、工業自動化、線性傳動與機器視覺",58,55,0,0,0,0,56,50,72,64,55,58,"自動化與機器人題材具想像空間|可觀察美股機器人與工控鏈","題材落地時間較長|營收兌現速度需追蹤"
ASIC/IP,"ASIC 設計服務、矽智財與 AI IC",72,55,0,0,0,0,70,50,86,88,64,66,"AI ASIC 與客製化晶片需求提升|美股半導體設計鏈同步性高","高價股波動大|流片與客戶進度不確定"
封測/CoWoS,"先進封裝、測試與 CoWoS 供應鏈",70,55,0,0,0,0,68,50,84,78,54,54,"AI 晶片先進封裝需求延續|測試與封裝產能利用率可追蹤","資本支出循環與產能開出時間會影響評價"
半導體設備/耗材,"半導體設備、製程材料與耗材通路",62,55,0,0,0,0,60,50,76,72,50,52,"先進製程與封裝擴產帶動設備材料|可觀察半導體資本支出","訂單認列具季節性|設備股常有高波動"
軍工/無人機,"國防航太、無人機與政策採購題材",56,55,0,0,0,0,54,50,70,58,50,56,"國防自主與無人機政策題材|特殊應用電子具延伸性","政策與標案時程不穩|題材熱度容易快速退潮"
車用電子,"車用連接器、ADAS、車用電源與電動車零組件",54,55,0,0,0,0,52,50,68,62,48,48,"車用電子長期滲透率提升|電動車與車用連接器需求可追蹤","車市循環與價格競爭可能壓抑毛利"
電子通路,"IC 通路、零組件代理與供應鏈服務",52,55,0,0,0,0,50,50,60,55,42,42,"電子通路可反映庫存循環|高成交個股常具資金指標性","毛利率較低|庫存與景氣循環影響較大"
航運,"貨櫃、散裝、航空與物流循環",50,55,0,0,0,0,48,50,58,50,40,48,"運價與景氣循環可能帶動波段行情|航空需求可追蹤旅遊景氣","運價波動大|景氣反轉時回檔速度快"
金融,"金控、銀行、證券與保險",50,55,0,0,0,0,48,50,56,48,38,34,"利率、股市成交與保險投資收益影響評價|大型權值具資金避風港特性","彈性通常低於題材股|政策與利率變化影響大"
塑化,"塑膠、石化、化纖與原物料循環",48,55,0,0,0,0,46,50,54,45,36,42,"原物料與報價循環可能帶動落後補漲|傳產輪動時可觀察","景氣與油價變數大|需求不振時估值修復慢"
生技醫療,"新藥、學名藥、醫材與醫療服務",48,55,0,0,0,0,46,50,62,48,55,60,"新藥授權、臨床進度與藥證事件可帶動資金|防禦與題材兼具","事件風險高|基本面與題材落差需嚴格控管"
觀光餐飲,"飯店、餐飲、旅行社與內需消費",46,55,0,0,0,0,44,50,56,42,42,44,"旅遊與內需消費復甦可帶動輪動|暑假與連假題材可追蹤","消費力與成本壓力影響獲利|題材常有季節性"
綠能/儲能,"太陽能、風電、儲能與能源工程",48,55,0,0,0,0,46,50,62,50,50,54,"能源轉型與儲能需求具政策支撐|電力工程可與重電連動","政策與補貼變數大|部分個股財務體質需確認"
