family,required,ready,blocked,na,actual_coverage,source_quality,status,download_action,phase_impact,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed
raw_execution_OHLCV,183886 warmup ticker-dates,181375,0 source gaps,2511 official zero/not applicable,P3 source 2022-07-11~2026-07-09; exact Layer4 contract through 2026-06-29,official TWSE/TPEx,ready_with_explicit_NA,reuse_only,technical indicators and execution price,0,False,False,False,False
adjusted_analysis_HLC,227186 exact-primary80 plus warmup ticker-dates,224936,2250 rows; 11 fully blocked tickers; 2025-08-01 provider partial,0,exact Layer4 through 2026-06-29,trusted_nonofficial research-grade; raw kept separate,partial_structural,no_reprobe_exhausted_routes,RS/MA/BIAS/KD rows affected; formal adjusted completeness blocked,0,False,False,False,False
corporate_action_guard,701 exact-primary80 union tickers,674 tickers with event inventory,701 tickers lack official no-event completeness proof,0,P3 event inventory; no historical current-table backfill,"official event inventory, incomplete no-event proof",partial_structural,no_reprobe_exhausted_routes,formal total-return/adjusted completeness; diagnostic raw execution remains separate,0,False,False,False,False
Layer4_exact_PIT_membership,weekly primary80 through latest source-ready trading week,154 snapshots / 12320 rows / 701 tickers,July 2026 exact snapshots not materialized,0,2023-07-14~2026-06-29,Core exact weekly PIT contract,core_materialization_required,no_download_underlying_sources_available_to_2026-07-09,blocks extending candidate membership beyond 2026-06-29,0,False,False,False,False
institutional_20D_warmup,89525 ticker-dates,89236,0 source gaps,289 official zero/not applicable,P3 official source to 2026-07-09,official TWSE/TPEx post-close,ready_with_explicit_NA,reuse_only,chip 5/10/20D rollup input,0,False,False,False,False
margin_short_20D_warmup,89525 ticker-dates,87963,0 source gaps,1562 official zero/not applicable,P3 official source to 2026-07-09,official TWSE/TPEx post-close,ready_with_explicit_NA,reuse_only,crowding and unwind context,0,False,False,False,False
securities_lending_20D_warmup,89525 ticker-dates,88963,0 source gaps,562 official zero/not applicable,P3 official source to 2026-07-09,official TWSE/TPEx post-close,ready_with_explicit_NA,reuse_only,lending/crowding context,0,False,False,False,False
foreign_ownership_20D_warmup,89525 ticker-dates,89379,0 source gaps,146 official zero/not applicable,P3 official source to 2026-07-09,official TWSE/TPEx date-query,ready_with_explicit_NA,reuse_only,institutional/large-holder proxy input,0,False,False,False,False
TDCC_P3_2,official retained weekly history,51 weeks / 61856 rows,P3-1 older weeks expired; 11 ticker-weeks official zero,P3-1 optional component not applicable,2025-07-11~2026-07-03,official TDCC retained archive,partial_locked_optional_AB,no_old_week_reprobe,optional P3-2 A/B only; does not block P3-1,0,False,False,False,False
TAIFEX_foreign_OI,728 Taiwan trading dates,728,0,0,2023-07-11~2026-07-09 trading dates,official TAIFEX range CSV,ready,reuse_only,market environment,0,False,False,False,False
full_market_traded_value,TWSE/TPEx/ALL daily,728 dates each market and combined,0,0,2023-07-11~2026-07-09 trading dates,official TWSE/TPEx daily totals,ready,reuse_only,market breadth/liquidity environment,0,False,False,False,False
full_market_margin_balance,TWSE/TPEx/ALL daily,728 dates each market and combined,0,0,2023-07-11~2026-07-09 trading dates,official TWSE/TPEx daily totals,ready,reuse_only,market leverage environment,0,False,False,False,False
global_SOX_Nasdaq_VIX_USDTWD,SOX plus Nasdaq/VIX/USD-TWD P3 sessions,SOX 752 sessions; Nasdaq/VIX/USD-TWD accepted,0 source gaps,Taiwan holidays/session mismatch handled by cutoff policy,2023-07-11~2026-07-09 available sessions,Yahoo trusted_nonofficial research-grade,ready_with_session_cutoff,reuse_only,global risk environment,0,False,False,False,False
